Дата,Баланс,Добавил админ,Покупка у бота,Покупка у бота вирт,Покупка у пользователя,инвайт,промо,Восстановлен,Продажа боту,Продажа боту виртуальных,Продажа пользователю,Комиссия за продажу пользваотелю,Пополнения
2022.6.19,977875.9,0,0,-660,-11481,65,10,0,478.03998,0,11481,-657.6401,1762
2022.6.20,979019.25,0,0,-646,-10327,55,45,0,383.37997,0,10327,-596.16986,1857
2022.6.21,979782.5,0,0,-7797,-14262,40,120,0,5732.13,0,14262,-1071.83,3238
2022.6.22,980149.6,770,0,-1835,-15830,45,30,0,1341.12,21.78,15830,-1114.9797,2827
2022.6.23,982405.8,0,-23,-1484,-14206,55,55,0,1091.5399,81.18,14206,-819.97015,4618
2022.6.24,985774.5,0,0,-5065,-11507.88,30,45,0,4612.21,0,11168,-670.4301,1556
2022.6.25,984868.7,0,0,-526,-10476.215,60,40,0,392.15,46.33,10258,-590.62994,13424.25
2022.6.26,998402.44,0,0,-392,-9601.12,50,25,0,327.96002,0,9472,-503.64996,4973
2022.6.27,1002783.4,0,0,-536,-7361.5195,30,45,0,292.62,0,7248,-564.14,2535
2022.6.28,1004227,0,0,-2006,-7438,60,35,0,1597.5599,184.97,7438,-510.39005,1344
2022.6.29,1004826.5,0,-54,-913,-7016,20,25,0,750.01,32.66,7016,-473.51,2287
2022.6.30,1006473,700,0,-4431,-12540,30,45,0,3645.29,0,12540,-737.45,2927
2022.7.1,1008206.25,0,-4020,-4563,-15911,65,50,0,3294.1301,47221.402,15911,-854.97003,1362
2022.7.2,1050750.1,0,0,-965,-25747,50,60,0,621.14996,79.2,25747,-1340.4501,9393
2022.7.3,1056336,0,-64,-798,-14800,20,55,0,630.7,48,14800,-895.98004,1145
2022.7.4,1056222.9,0,0,-815,-18964,40,60,0,595.65,0,18964,-996.37994,5280
